,depth_fre_game_iter_20,depth_fre_game_iter_31,_runtime,resource/width_resource_usage,Win_Rate/self_play,depth_fre_game_iter_100,resource/width,entropy,resource/depth,resource/total_resource_usage,resource/depth_ratio,resource/depth_resource_usage,_step,resource/remain_resource_ratio,_timestamp,depth_fre_game_iter_10,resource/remain_resource,loss,Win_Rate/Evaluate,depth_fre_game_iter_1,depth_fre_game_iter_50,resource/width_ratio,resource/total_planning_depth
202,2.0,,6108.323196772,,,,,,,,,,488841.0,,1736282133.948916,,,,,,,,
203,1.0,,6122.87383582,,,,,,,,,,499140.0,,1736282148.4995315,,,,,,,,
204,1.0,,6123.966364888,,,,,,,,,,499948.0,,1736282149.5920444,,,,,,,,
205,,,6612.447695528,139239.0,,,2187.0,,81.0,144423.0,0.035894311194815266,5184.0,511090.0,0.009444444444444445,1736282638.073367,,1377.0,,,,,0.9640987647482413,64.0
206,,,7525.649450097,140130.0,,,2592.0,,81.0,144423.0,0.029724976458206393,4293.0,515826.0,0.009444444444444445,1736283551.275062,,1377.0,,,,,0.9702680994848502,53.0
207,,,7574.87392723,140859.0,,,2511.0,,81.0,145314.0,0.030657537074630974,4455.0,516207.0,0.0033333333333333335,1736283600.499536,,486.0,,,,,0.9693355813233321,55.0
208,,,7613.440203048,138996.0,,,2106.0,,81.0,144261.0,0.036496097378381,5265.0,516528.0,0.010555555555555556,1736283639.065816,,1539.0,,,,,0.9634969707892584,65.0
209,,,8659.782821265,138591.0,,,1782.0,,81.0,144990.0,0.044133773820444026,6399.0,522825.0,0.005555555555555556,1736284685.4084036,,810.0,,,,,0.9558593291997435,79.0
210,,2.0,9855.913711678,,,,,,,,,,529188.0,,1736285881.539434,,,,,,,,
211,,1.0,9857.370597901,,,,,,,,,,530200.0,,1736285882.9962952,,,,,,,,
212,,1.0,9857.954723477,,,,,,,,,,530629.0,,1736285883.5804305,,,,,,,,
213,,1.0,9858.140153456,,,,,,,,,,530762.0,,1736285883.7658281,,,,,,,,
214,,2.0,9858.664984566,,,,,,,,,,531153.0,,1736285884.2907035,,,,,,,,
215,,1.0,9859.426457538,,,,,,,,,,531613.0,,1736285885.0521688,,,,,,,,
216,,1.0,9860.921632588,,,,,,,,,,532821.0,,1736285886.5473375,,,,,,,,
