,resource/depth_ratio,resource/depth,resource/width_ratio,Win_Rate/Evaluate,_step,loss,resource/width,planning_depth/game_iter_1,planning_depth/game_iter_100,planning_depth/game_iter_50,resource/depth_resource_usage,resource/total_planning_depth,resource/total_resource_usage,planning_depth/game_iter_20,_runtime,planning_depth/game_iter_10,resource/width_resource_usage,entropy,_timestamp,Win_Rate/self_play,planning_depth/game_iter_31
199,0.04088307440719542,27.0,0.9591169255928046,,321339,,621.0,,,,1350.0,50.0,33021.0,,4430.368482286,,31671.0,,1736076977.6561828,,
200,0.05847953216374269,27.0,0.9415204678362573,,321983,,432.0,,,,1350.0,50.0,23085.0,,4463.390588258,,21735.0,,1736077010.6783,,
201,0.02965599051008304,27.0,0.970344009489917,,323437,,864.0,,,,1350.0,50.0,45522.0,,4537.497639123,,44172.0,,1736077084.7853417,,
202,0.03498950314905528,27.0,0.9650104968509448,,324015,,729.0,,,,1350.0,50.0,38583.0,,4567.305795852,,37233.0,,1736077114.5935073,,
203,,,,,328105,,,,,,,,41310.0,,4777.72916695,,,,1736077325.0169537,,
204,0.02796420581655481,27.0,0.9720357941834452,,328757,,918.0,,,,1350.0,50.0,48276.0,,4811.403529256,,46926.0,,1736077358.6912265,,
205,,,,,329826,,,,,,,,38394.0,,4867.078606514,,,,1736077414.36639,,
206,,,,,330846,,,,,,,,22977.0,,4919.923985326,,,,1736077467.2118096,,
207,,,,,333241,,,,,,,,24111.0,,5042.271304082,,,,1736077589.5590942,,
208,,,,,334089,,,,,,,,35829.0,,5085.870281837,,,,1736077633.1580377,,
209,,,,,335799,,,,,,,,46899.0,,5172.831090976,,,,1736077720.118855,,
210,,,,,335827,,,,,,,,44145.0,,5174.290138076,,,,1736077721.5779378,,
211,,,,,337270,,,,,,,,43578.0,,5248.0540621,,,,1736077795.341829,,
212,,,,,337636,,,,,,,,42714.0,,5266.756116352,,,,1736077814.0439265,,
213,0.028785261945883708,27.0,0.9712147380541163,,338367,,891.0,,,,1350.0,50.0,46899.0,,5303.928061936,,45549.0,,1736077851.2157848,,
214,,,,,340853,,,,,,,,33021.0,,5432.098249553,,,,1736077979.3860745,,
215,0.02965599051008304,27.0,0.970344009489917,,341630,,864.0,,,,1350.0,50.0,45522.0,,5471.98632215,,44172.0,,1736078019.27403,,
216,,,,,342195,,,,,,,,24084.0,,5501.568705282,,,,1736078048.8564875,,
217,0.03793626707132018,27.0,0.9620637329286799,,344647,,702.0,,,,1350.0,50.0,35586.0,,5627.503482397,,34236.0,,1736078174.7911685,,
218,,,,,346976,,,,,,,,44118.0,,5746.735571685,,,,1736078294.0233595,,
219,,,,,347038,,,,,,,,42768.0,,5749.869266218,,,,1736078297.1570435,,
220,,,,,347291,,,,,,,,44145.0,,5762.89252824,,,,1736078310.1802847,,
221,,,,,348011,,,,,,,,42768.0,,5799.448309093,,,,1736078346.736112,,
222,0.042662116040955635,27.0,0.9573378839590444,,350330,,594.0,,,,1350.0,50.0,31644.0,,5916.703740564,,30294.0,,1736078463.9914463,,
223,,,,,353673,,,,,,,,,,5958.470080693,,,,1736078505.7578866,,2.0
224,,,,,355001,,,,,,,,,,5961.18148895,,,,1736078508.4692972,,2.0
225,,,,,355722,,,,,,,,,,5962.709281247,,,,1736078509.9971008,,2.0
226,,,,,360188,,,,,,,,40014.0,,5971.913553901,,,,1736078519.2013862,,
227,,,,,361028,,,,,,,,,,5973.546885925,,,,1736078520.834699,,2.0
