,Win_Rate/self_play,depth_fre/game_iter_50,resource/width,resource/width_ratio,_step,resource/total_resource_usage,_timestamp,entropy,depth_fre/game_iter_10,resource/remain_resource,resource/depth,depth_fre/game_iter_31,resource/remain_resource_ratio,resource/depth_resource_usage,Win_Rate/Evaluate,resource/depth_ratio,depth_fre/game_iter_1,depth_fre/game_iter_20,resource/width_resource_usage,depth_fre/game_iter_100,_runtime,loss
129,,,891.0,0.9164780909277926,82186,4860.0,1736277144.7069116,,,972.0,81.0,,0.16666666666666666,405.0,,0.08331619008434478,,,4455.0,,453.45165753364563,
130,,,2511.0,0.969046714774022,82482,5265.0,1736277146.9278848,,,567.0,81.0,,0.09722222222222222,162.0,,0.030763387770603876,,,5103.0,,455.67263078689575,
131,,,2349.0,0.9670174018615945,83477,4941.0,1736277153.3840892,,,891.0,81.0,,0.1527777777777778,162.0,,0.032780250910562525,,,4779.0,,462.1288352012634,
132,,,1863.0,0.9589420654911839,84250,3969.0,1736277157.9383836,,,1863.0,81.0,,0.3194444444444444,162.0,,0.040806045340050376,,,3807.0,,466.6831295490265,
133,,,2511.0,0.969046714774022,84585,5265.0,1736277160.0038137,,,567.0,81.0,,0.09722222222222222,162.0,,0.030763387770603876,,,5103.0,,468.74855971336365,
134,,,1296.0,0.9410056271555636,85130,5508.0,1736277164.1531334,,,324.0,81.0,,0.05555555555555555,324.0,,0.05881285169722272,,,5184.0,,472.8978793621063,
135,,,1296.0,0.9418604651162791,85418,5589.0,1736277165.9683926,,,243.0,81.0,,0.041666666666666664,324.0,,0.057960644007155636,,,5265.0,,474.71313858032227,
136,,,,,87576,,1736277179.974415,3.0854055881500244,,,,,,,,,,,,,488.71916103363037,3.2133238315582275
137,,,1539.0,0.9506272764063133,89300,4941.0,1736277191.6647012,,,891.0,81.0,,0.1527777777777778,243.0,,0.04917037636584379,,,4698.0,,500.40944719314575,
138,,,2349.0,0.9670174018615945,89865,4941.0,1736277195.3870237,,,891.0,81.0,,0.1527777777777778,162.0,,0.032780250910562525,,,4779.0,,504.131769657135,
139,,,891.0,0.9178470254957507,90254,4941.0,1736277198.0450237,,,891.0,81.0,,0.1527777777777778,405.0,,0.08195062727640631,,,4536.0,,506.7897696495056,
140,,,2268.0,0.9658995815899581,90597,4779.0,1736277200.8698554,,,1053.0,81.0,,0.18055555555555555,162.0,,0.033891213389121336,,,4617.0,,509.6146013736725,
141,,,1053.0,0.9284076882384059,91232,5670.0,1736277205.0341804,,,162.0,81.0,,0.027777777777777776,405.0,,0.07141597601833892,,,5265.0,,513.7789263725281,
142,,,2025.0,0.9620400558919422,91575,4293.0,1736277207.5064826,,,1539.0,81.0,,0.2638888888888889,162.0,,0.03772706101537028,,,4131.0,,516.2512285709381,
143,,,1863.0,0.9589420654911839,91577,3969.0,1736277207.5194821,,,1863.0,81.0,,0.3194444444444444,162.0,,0.040806045340050376,,,3807.0,,516.264228105545,
144,,,1863.0,0.9589420654911839,92086,3969.0,1736277210.9296153,,,1863.0,81.0,,0.3194444444444444,162.0,,0.040806045340050376,,,3807.0,,519.6743612289429,
145,,,1782.0,0.9569740786457415,92126,5670.0,1736277211.1792436,,,162.0,81.0,,0.027777777777777776,243.0,,0.04284958561100335,,,5427.0,,519.923989534378,
146,,,2106.0,0.9634201077199281,92521,4455.0,1736277213.8395257,,,1377.0,81.0,,0.2361111111111111,162.0,,0.036355475763016155,,,4293.0,,522.5842716693878,
147,,,1539.0,0.9506272764063133,93435,4941.0,1736277219.988526,,,891.0,81.0,,0.1527777777777778,243.0,,0.04917037636584379,,,4698.0,,528.7332720756531,
148,,,2106.0,0.9634201077199281,93534,4455.0,1736277220.5835261,,,1377.0,81.0,,0.2361111111111111,162.0,,0.036355475763016155,,,4293.0,,529.3282721042633,
149,,,2592.0,0.9699705232129698,94142,5427.0,1736277224.8055775,,,405.0,81.0,,0.06944444444444445,162.0,,0.02984524686809138,,,5265.0,,533.5503234863281,
150,,,2592.0,0.9699705232129698,94771,5427.0,1736277228.9072282,,,405.0,81.0,,0.06944444444444445,162.0,,0.02984524686809138,,,5265.0,,537.6519742012024,
151,,,1134.0,0.934237150951032,95106,4941.0,1736277230.989229,,,891.0,81.0,,0.1527777777777778,324.0,,0.06556050182112505,,,4617.0,,539.7339749336243,
152,,,2673.0,0.9708407871198569,95209,5589.0,1736277231.5512276,,,243.0,81.0,,0.041666666666666664,162.0,,0.028980322003577818,,,5427.0,,540.2959735393524,
153,,,2187.0,0.9647033347769597,95543,4617.0,1736277233.6474576,,,1215.0,81.0,,0.20833333333333334,162.0,,0.035080121264616716,,,4455.0,,542.3922035694122,
154,,,,,96839,,1736277240.2770581,,,,,2.0,,,,,,,,,549.0218040943146,
155,,,,,97424,,1736277241.426059,,,,,1.0,,,,,,,,,550.170804977417,
156,,,,,98193,,1736277242.92466,,,,,1.0,,,,,,,,,551.6694059371948,
157,,,,,98263,,1736277243.0766597,,,,,2.0,,,,,,,,,551.8214056491852,
158,,,,,98637,,1736277243.7986588,,,,,1.0,,,,,,,,,552.5434048175812,
159,,,,,100172,,1736277246.703306,,,,,2.0,,,,,,,,,555.4480519294739,
160,,,2268.0,0.9658995815899581,101432,4779.0,1736277249.124305,,,1053.0,81.0,,0.18055555555555555,162.0,,0.033891213389121336,,,4617.0,,557.8690509796143,
161,,,,,102048,,1736277250.3163059,,,,,2.0,,,,,,,,,559.0610518455505,
162,,,,,102586,,1736277251.3246498,,,,,1.0,,,,,,,,,560.0693957805634,
163,,,,,102645,,1736277251.434164,,,,,2.0,,,,,,,,,560.1789100170135,
164,,,,,103182,,1736277252.437221,,,,,1.0,,,,,,,,,561.1819670200348,
165,,,1782.0,0.9569740786457415,105682,5670.0,1736277263.309967,,,162.0,81.0,,0.027777777777777776,243.0,,0.04284958561100335,,,5427.0,,572.054713010788,
166,,,2673.0,0.9708407871198569,106933,5589.0,1736277271.6856663,,,243.0,81.0,,0.041666666666666664,162.0,,0.028980322003577818,,,5427.0,,580.4304122924805,
