,planning_depth/game_iter_1,resource/width_resource_usage,planning_depth/game_iter_10,_runtime,resource/depth_resource_usage,resource/total_planning_depth,resource/width_ratio,planning_depth/game_iter_31,entropy,resource/width,Win_Rate/self_play,resource/depth,loss,_step,resource/depth_ratio,planning_depth/game_iter_50,Win_Rate/Evaluate,resource/total_resource_usage,_timestamp,planning_depth/game_iter_20,planning_depth/game_iter_100
235,,,,12459.477416917,,,,2.0,,,,,,641414.0,,,,,1736107218.0452785,,
236,,,,12460.564916332,,,,2.0,,,,,,641883.0,,,,,1736107219.132785,,
237,,,,12468.729054417,,,,3.0,,,,,,645699.0,,,,,1736107227.2969275,,
238,,,,12474.902974812,,,,3.0,,,,,,648478.0,,,,,1736107233.4708455,,
239,,,,12476.773618928,,,,3.0,,,,,,649352.0,,,,,1736107235.341489,,
240,,,,12476.926109499,,,,3.0,,,,,,649423.0,,,,,1736107235.4939806,,
241,,,,12482.619706913,,,,2.0,,,,,,652033.0,,,,,1736107241.1875744,,
242,,,,12483.820019579,,,,2.0,,,,,,652592.0,,,,,1736107242.3879037,,
243,,,,12485.23867817,,,,3.0,,,,,,653281.0,,,,,1736107243.8065386,,
244,,,,12492.250364619,,,,2.0,,,,,,656568.0,,,,,1736107250.818223,,
245,,,,12496.028477466,,,,3.0,,,,,,658334.0,,,,,1736107254.5963113,,
246,,,,12497.591471751,,,,3.0,,,,,,658947.0,,,,,1736107255.983861,,
247,,,,12508.742523777,,,,3.0,,,,,,664182.0,,,,,1736107267.3103898,,
248,,,,12520.380575387,,,,2.0,,,,,,669619.0,,,,,1736107278.948452,,
249,,,,12543.437908646,,,,3.0,,,,,,680288.0,,,,,1736107302.0057807,,
250,,,,12544.838576692,,,,3.0,,,,,,680972.0,,,,,1736107303.4064436,,
251,,,,12546.888093953,,,,2.0,,,,,,681942.0,,,,,1736107305.455965,,
252,,,,12551.427525822,,,,3.0,,,,,,684022.0,,,,,1736107309.9953978,,
253,,,,12562.169943121,,,,3.0,,,,,,689040.0,,,,,1736107320.7378142,,
254,,,,12570.935693879,,,,2.0,,,,,,693177.0,,,,,1736107329.5035641,,
255,,,,12576.77409957,,,,3.0,,,,,,695887.0,,,,,1736107335.341968,,
256,,,,12579.789834598,,,,3.0,,,,,,697328.0,,,,,1736107338.357715,,
257,,,,12580.511382696,,,,2.0,,,,,,697692.0,,,,,1736107339.0792522,,
258,,,,12582.585997534,,,,3.0,,,,,,698667.0,,,,,1736107341.1538649,,
259,,,,12583.727791869,,,,2.0,,,,,,699203.0,,,,,1736107342.2956622,,
260,,,,12585.932375409,,,,3.0,,,,,,700237.0,,,,,1736107344.5002394,,
261,,,,12591.678186391,,,,3.0,,,,,,703005.0,,,,,1736107350.2460546,,
262,,,,12592.770624371,,,,3.0,,,,,,703458.0,,,,,1736107351.338495,,
263,,,,12593.217577918,,,,3.0,,,,,,703669.0,,,,,1736107351.7854357,,
264,,,,12603.387513438,,,,2.0,,,,,,708408.0,,,,,1736107361.9553845,,
265,,,,12612.782754855,,,,3.0,,,,,,712795.0,,,,,1736107371.3506246,,
266,,,,12617.57050634,,,,3.0,,,,,,714976.0,,,,,1736107376.0719254,,
267,,,,12617.642394622,,,,3.0,,,,,,715047.0,,,,,1736107376.2102535,,
268,,,,12622.553406875,,,,4.0,,,,,,717331.0,,,,,1736107381.1212704,,
269,,,,12625.751457549,,,,2.0,,,,,,718795.0,,,,,1736107384.3193135,,
270,,,,12633.935829563,,,,3.0,,,,,,722670.0,,,,,1736107392.5037088,,
271,,,,12648.178259207,,,,3.0,,,,,,729363.0,,,,,1736107406.7461283,,
272,,,,12649.525649844,,,,2.0,,,,,,730032.0,,,,,1736107408.0935178,,
273,,,,12650.53392128,,,,3.0,,,,,,730465.0,,,,,1736107409.1017869,,
274,,,,12670.120755195,,,,3.0,,,,,,739662.0,,,,,1736107428.6886182,,
275,,,,12671.455099993,,,,3.0,,,,,,740267.0,,,,,1736107430.0229688,,
276,,,,12822.505523293,,,,,,,,,,743417.0,,,,286578.0,1736107581.0734146,,
277,,,,12948.230583791,,,,,,,,,,744613.0,,,,270135.0,1736107706.7984188,,
278,,253935.0,,13046.751965649,8100.0,100.0,0.9690880989180835,,,2511.0,,81.0,,745550.0,0.030911901081916538,,,262035.0,1736107805.3197272,,
